product_id,title,tags,category,popularity_score
1,गोदान,"प्रेमचंद,यथार्थवाद,कृषक",उपन्यास,98
2,रश्मिरथी,"रामधारी सिंह दिनकर,काव्य,कर्ण",कविता,97
3,मधुशाला,"हरिवंश राय बच्चन,कविता,दार्शनिक",कविता,95
4,सूरज का सातवाँ घोड़ा,"धर्मवीर भारती,कहानी,प्रतीकात्मक",उपन्यास,90
5,यामा,"महादेवी वर्मा,छायावाद,कविता",कविता,93
6,गबन,"प्रेमचंद,नारी,सामाजिक",उपन्यास,91
7,उर्वशी,"रामधारी सिंह दिनकर,पौराणिक,कविता",कविता,94
8,कवि,"निराला,आधुनिकता,स्वतंत्रता",कविता,89
9,निर्मला,"प्रेमचंद,नारीशिक्षा,विधवा",उपन्यास,92
10,सप्तक,"अज्ञेय,प्रयोगवाद,समकालीन",कविता-संग्रह,88
